feature,pearson_corr,pearson_abs,VIF,lasso_coef,rf_imp,pearson_rank,vif_rank,lasso_rank,rf_rank,total_score
年龄,0.2513163067085467,0.2513163067085467,1.6741031189834332,0.3384631822218119,0.08024883729501833,1.0,6.0,1.0,1.0,9.0
甘油三酯,0.22008775130719302,0.22008775130719302,2.784614383063136,0.2330797289567329,0.06606873087473718,2.0,12.0,4.0,2.0,20.0
尿素,0.14681055407664656,0.14681055407664656,1.2582374336251074,0.10130716571478755,0.043918257451682007,6.0,2.0,9.0,6.0,23.0
*碱性磷酸酶,0.15911343413971027,0.15911343413971027,1.2032462669749848,0.06583452895875896,0.0328361977825559,3.0,1.0,11.0,8.0,23.0
*r-谷氨酰基转换酶,0.1448051280653888,0.1448051280653888,1.8749279719693186,0.04692179438284437,0.04080485040270934,7.0,8.0,13.0,7.0,35.0
尿酸,0.0602420354770714,0.0602420354770714,1.9510461670637365,-0.23733834443103308,0.05070046263596507,22.0,10.0,3.0,4.0,39.0
白细胞计数,0.08915504734941498,0.08915504734941498,1.5111979906579722,0.07808535364670988,0.032584764788443056,16.0,4.0,10.0,9.0,39.0
*丙氨酸氨基转换酶,0.13052081000096477,0.13052081000096477,4.551311342148118,0.12388026047092246,0.028856442643930995,11.0,14.0,7.0,12.0,44.0
*天门冬氨酸氨基转换酶,0.11743850031745003,0.11743850031745003,4.1232893042615375,-0.044643525483912844,0.05020240832167098,14.0,13.0,15.0,5.0,47.0
红细胞体积分布宽度,-0.07966119287452537,0.07966119287452537,1.9316532073310213,-0.12541399672540499,0.02765426639094436,18.0,9.0,6.0,15.0,48.0
性别,-0.14223617531300944,0.14223617531300944,1.576659116196849,-0.2889013880883466,0.0036666683892652052,8.0,5.0,2.0,34.0,49.0
红细胞平均血红蛋白浓度,0.13935488904045537,0.13935488904045537,64.44098190521636,0.1140418981016646,0.0309644192981712,10.0,23.0,8.0,10.0,51.0
低密度脂蛋白胆固醇,0.15736040769356607,0.15736040769356607,30.75026286144679,0.04626914760311006,0.025132582029251425,4.0,19.0,14.0,17.0,54.0
肌酐,0.11591246760370967,0.11591246760370967,2.0551540187076216,0.0,0.030106797636163,15.0,11.0,26.0,11.0,63.0
高密度脂蛋白胆固醇,-0.08610942438159326,0.08610942438159326,6.101598368589276,0.00941986816549327,0.027776975365965195,17.0,15.0,23.0,14.0,69.0
红细胞平均体积,-0.004046502245743358,0.004046502245743358,177.10147702973993,-0.18888004658634988,0.05472581696885084,34.0,29.0,5.0,3.0,71.0
血小板体积分布宽度,0.04462361194438633,0.04462361194438633,1.8547874537406952,0.05452399570243627,0.018069174780589593,25.0,7.0,12.0,31.0,75.0
红细胞计数,0.12417607979755192,0.12417607979755192,95.00389108761838,0.0,0.027783132881046075,13.0,26.0,26.0,13.0,78.0
嗜碱细胞%,0.024576898689475497,0.024576898689475497,1.4870737729556975,0.023080596336805585,0.019986125768489616,30.0,3.0,21.0,25.0,79.0
血小板计数,-0.07711913989964564,0.07711913989964564,75.99838811292379,-0.0357352946984814,0.021503570219178883,19.0,25.0,17.0,21.0,82.0
总胆固醇,0.1417128434990709,0.1417128434990709,37.39250224178695,0.0,0.019337012225002923,9.0,20.0,26.0,28.0,83.0
红细胞压积,0.1249088621234791,0.1249088621234791,495.02097421818314,-0.00498364267869616,0.021759713351040034,12.0,33.0,24.0,20.0,89.0
*总蛋白,0.04366383659090571,0.04366383659090571,98.21494061907897,0.03922802753971799,0.02254177259904701,27.0,27.0,16.0,19.0,89.0
血红蛋白,0.15151286711975345,0.15151286711975345,523.5535277558165,0.0,0.01991582739352731,5.0,34.0,26.0,26.0,91.0
嗜酸细胞%,0.00503334861695112,0.00503334861695112,11.352971763003543,-0.023824637686558316,0.02134243306437587,32.0,17.0,20.0,23.0,92.0
单核细胞%,0.00424309087307867,0.00424309087307867,9.705313347871513,0.0,0.022671512202184208,33.0,16.0,26.0,18.0,93.0
白蛋白,0.008600785416518918,0.008600785416518918,42.66171039637768,-0.0,0.027547231727384557,31.0,21.0,26.0,16.0,94.0
血小板平均体积,0.02680221569855425,0.02680221569855425,12.369750341291722,0.002695527288311071,0.02045385280420595,29.0,18.0,25.0,24.0,96.0
中性粒细胞%,0.04677078530324467,0.04677078530324467,220.01474712419233,0.021645753103289814,0.0214038814328345,24.0,31.0,22.0,22.0,99.0
*球蛋白,0.04406986706846551,0.04406986706846551,125.29995298667427,0.03258654195327072,0.019622887143991585,26.0,28.0,18.0,27.0,99.0
淋巴细胞%,-0.05300164847522339,0.05300164847522339,190.79803533991765,-0.02767343860235069,0.018506271267476285,23.0,30.0,19.0,30.0,102.0
血小板比积,-0.06715606946821559,0.06715606946821559,69.54372168773305,0.0,0.015587599962263702,21.0,24.0,26.0,33.0,104.0
红细胞平均血红蛋白量,0.06738861603414784,0.06738861603414784,289.37970921084127,0.0,0.019180632939346052,20.0,32.0,26.0,29.0,107.0
白球比例,-0.02974539582754395,0.02974539582754395,46.42160165576613,0.0,0.016538889962691854,28.0,22.0,26.0,32.0,108.0
